file_name,resolved_path,stats
0004.ihatezoomihatezoomihatezoomihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0004.ihatezoomihatezoomihatezoomihatezoom,"os.stat_result(st_mode=33188, st_ino=17855451, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=53, st_atime=1663768970, st_mtime=1663603461, st_ctime=1663603461)"
0008.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0008.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17855398, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=102, st_atime=1663768970, st_mtime=1663603374, st_ctime=1663603374)"
0013.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0013.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,"os.stat_result(st_mode=33188, st_ino=17855460, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=163, st_atime=1663768970, st_mtime=1663603461, st_ctime=1663603461)"
0000.,/Users/wickes1/PycharmProjects/IS305/week 5/data/0000.,"os.stat_result(st_mode=33188, st_ino=17855448, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=4, st_atime=1663768970, st_mtime=1663603461, st_ctime=1663603461)"
0007.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0007.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17854572, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=90, st_atime=1663768970, st_mtime=1663603263, st_ctime=1663603263)"
0013.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0013.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17854578, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=163, st_atime=1663768970, st_mtime=1663603263, st_ctime=1663603263)"
0018.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0018.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17855408, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=223, st_atime=1663768970, st_mtime=1663603374, st_ctime=1663603374)"
0000,/Users/wickes1/PycharmProjects/IS305/week 5/data/0000,"os.stat_result(st_mode=33188, st_ino=17855391, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=4, st_atime=1663768970, st_mtime=1663603374, st_ctime=1663603374)"
0015.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0015.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,"os.stat_result(st_mode=33188, st_ino=17855462, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=187, st_atime=1663768970, st_mtime=1663603461, st_ctime=1663603461)"
0010.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0010.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,"os.stat_result(st_mode=33188, st_ino=17855457, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=127, st_atime=1663768970, st_mtime=1663603461, st_ctime=1663603461)"
0018.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0018.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17854583, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=223, st_atime=1663768970, st_mtime=1663603263, st_ctime=1663603263)"
0001.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0001.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17854566, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=17, st_atime=1663768970, st_mtime=1663603461, st_ctime=1663603461)"
